2008-W01,Iceland,,0
2008-W01,Viet Nam,,24
2008-W01,Cameroon,,0
2008-W01,Martinique,,1
2008-W01,Sri Lanka,,0
2008-W01,Ghana,0,0
2008-W01,Pakistan,0,0
2008-W01,Uganda,,0
2008-W01,Czech Republic,,0
2008-W01,Honduras,,0
2008-W01,Thailand,,49
2008-W01,Greece,,3
2008-W01,Egypt,,0
2008-W01,Sweden,,25
2008-W01,Madagascar,,1
2008-W01,Morocco,,0
2008-W01,Serbia,,0
2008-W01,Kazakhstan,,0
2008-W01,Iran (Islamic Republic of),,5
2008-W01,Australia,,1
2008-W01,Chile,,0
2008-W01,Kenya,,0
2008-W01,Mexico,0,1
2008-W01,Romania,,6
2008-W01,Tunisia,,1
2008-W01,India,,4
2008-W01,Canada,,292
2008-W01,Italy,,3
2008-W01,Norway,,15
2008-W01,Senegal,,0
2008-W01,Switzerland,,13
2008-W01,Republic of Korea,,166
2008-W01,Ukraine,0,0
2008-W01,Colombia,,0
2008-W01,Portugal,,8
2008-W01,Finland,,3
2008-W01,Bulgaria,,0
2008-W01,Latvia,,14
2008-W01,Germany,,3
2008-W01,South Africa,,0
2008-W01,Costa Rica,,1
2008-W01,Israel,,8
2008-W01,United States of America,,579
2008-W01,Panama,,0
2008-W01,Denmark,,1
2008-W01,Kyrgyzstan,,5
2008-W01,Spain,,65
2008-W01,Dominican Republic,,0
2008-W01,French Guiana,,1
2008-W01,Mongolia,,1
2008-W01,New Caledonia,,0
2008-W01,Philippines,0,0
2008-W01,El Salvador,,0
2008-W01,China,,100
2008-W01,Argentina,,0
2008-W01,Peru,,3
2008-W01,Slovenia,,16
2008-W01,Cambodia,0,0
2008-W01,Belgium,,34
2008-W01,Paraguay,,0
2008-W01,Malaysia,0,4
2008-W01,Jamaica,0,1
2008-W01,Luxembourg,,8
2008-W01,Brazil,,1
2008-W01,United Kingdom,,67
2008-W01,Estonia,,0
2008-W01,Poland,,0
2008-W01,Japan,,49
2008-W01,Croatia,,7
2008-W01,Singapore,,18
2008-W01,France,,51
2008-W02,Cambodia,0,1
2008-W02,Kenya,,2
2008-W02,Denmark,,4
2008-W02,Cameroon,,0
2008-W02,Sri Lanka,,0
2008-W02,Ghana,0,0
2008-W02,Pakistan,0,0
2008-W02,Latvia,,16
2008-W02,Honduras,,0
2008-W02,Norway,,27
2008-W02,Russian Federation,,0
2008-W02,Iceland,,1
2008-W02,French Guiana,,2
2008-W02,Czech Republic,,17
2008-W02,Sweden,,33
2008-W02,Tunisia,,4
2008-W02,France,,89
2008-W02,Bulgaria,,2
2008-W02,Kazakhstan,,0
2008-W02,Iran (Islamic Republic of),,1
2008-W02,Chile,,0
2008-W02,Morocco,,2
2008-W02,Israel,,9
2008-W02,Finland,,25
2008-W02,Egypt,,2
2008-W02,Madagascar,,13
2008-W02,Ukraine,0,0
2008-W02,United States of America,,1011
2008-W02,Philippines,0,12
2008-W02,Senegal,,0
2008-W02,Australia,,0
2008-W02,Colombia,,0
2008-W02,Portugal,,8
2008-W02,Romania,,31
2008-W02,South Africa,,0
2008-W02,India,,2
2008-W02,Costa Rica,,1
2008-W02,Greece,,14
2008-W02,Malaysia,0,1
2008-W02,Panama,,0
2008-W02,United Kingdom,,102
2008-W02,Brazil,,0
2008-W02,Italy,,15
2008-W02,Dominican Republic,,0
2008-W02,Estonia,,1
2008-W02,Mexico,,7
2008-W02,New Caledonia,,0
2008-W02,Singapore,,22
2008-W02,El Salvador,,0
2008-W02,Argentina,,0
2008-W02,Spain,,155
2008-W02,Switzerland,,39
2008-W02,Canada,,267
2008-W02,Thailand,,34
2008-W02,Uganda,,3
2008-W02,Paraguay,,0
2008-W02,Belgium,,53
2008-W02,Mongolia,,6
2008-W02,Japan,,277
2008-W02,Germany,,11
2008-W02,Poland,,5
2008-W02,Serbia,,4
2008-W02,China,,274
2008-W02,Republic of Korea,,181
2008-W02,Luxembourg,,13
2008-W02,Martinique,,3
2008-W02,Slovenia,,49
2008-W02,Viet Nam,,23
2008-W02,Jamaica,0,0
2008-W02,Kyrgyzstan,,3
2008-W02,Croatia,,7
2008-W02,Peru,,6
2008-W03,Serbia,,12
2008-W03,Greece,,30
2008-W03,Cameroon,,0
2008-W03,Belarus,,0
2008-W03,Japan,,322
2008-W03,Ghana,0,0
2008-W03,Martinique,,1
2008-W03,Pakistan,0,0
2008-W03,Sri Lanka,,0
2008-W03,Finland,,74
2008-W03,Honduras,,0
2008-W03,Norway,,40
2008-W03,China,,202
2008-W03,Belgium,,64
2008-W03,Mexico,,12
2008-W03,Montenegro,,14
2008-W03,Uganda,,0
2008-W03,Egypt,,0
2008-W03,Estonia,,2
2008-W03,Poland,,2
2008-W03,Singapore,,35
2008-W03,India,,0
2008-W03,Morocco,,0
2008-W03,Philippines,,17
2008-W03,France,,124
2008-W03,Kazakhstan,,0
2008-W03,Iran (Islamic Republic of),,5
2008-W03,Bulgaria,,7
2008-W03,Chile,,0
2008-W03,Israel,,9
2008-W03,Madagascar,,13
2008-W03,Ukraine,0,0
2008-W03,Switzerland,,23
2008-W03,Malaysia,0,3
2008-W03,Senegal,,0
2008-W03,United States of America,,1336
2008-W03,Colombia,,0
2008-W03,Croatia,,12
2008-W03,South Africa,,0
2008-W03,Romania,,53
2008-W03,Russian Federation,,4
2008-W03,Panama,,0
2008-W03,Czech Republic,,20
2008-W03,Brazil,,0
2008-W03,Republic of Korea,,198
2008-W03,Spain,,159
2008-W03,Slovenia,,55
2008-W03,Dominican Republic,,0
2008-W03,Thailand,,43
2008-W03,Canada,,300
2008-W03,New Caledonia,,0
2008-W03,Portugal,,9
2008-W03,El Salvador,,0
2008-W03,Argentina,,0
2008-W03,Italy,,12
2008-W03,Sweden,,28
2008-W03,Cambodia,0,0
2008-W03,Australia,,2
2008-W03,Latvia,,40
2008-W03,Luxembourg,,41
2008-W03,Paraguay,,0
2008-W03,Jamaica,0,1
2008-W03,Iceland,,3
2008-W03,Tunisia,,2
2008-W03,United Kingdom,,68
2008-W03,Denmark,,5
2008-W03,Costa Rica,,0
2008-W03,Germany,,18
2008-W03,Kenya,,4
2008-W03,Mongolia,,4
